--------- beginning of main
06-01 12:43:55.767   912 18449 I mtkpower_client: perf_lock_acq, hdl:4099, dur:3000, num:18, pid:912, tid:18449
06-01 12:43:55.769   912 18449 I mtkpower_client: ret_hdl:276180
06-01 12:43:56.087   937  1019 I libPowerHal: [setGPUFreq] final min/max = (4, 0)
06-01 12:43:56.087   937  1019 I libPowerHal: binder:912_2: set gpu opp level: 4
06-01 12:43:56.088   937  1019 I libPowerHal: binder:912_2: set gpu opp level max: 0
06-01 12:43:56.088   937  1019 I libPowerHal: [PE] binder:912_2 update cmd:10005000, param:7000, pr:3
06-01 12:43:56.088   937  1019 I libPowerHal: [PE] binder:912_2 update cmd:408000 param:2000000 pr:3
06-01 12:43:56.088   937  1019 I libPowerHal: [PE] binder:912_2 update cmd:408100 param:2203000 pr:3
06-01 12:43:56.088   937  1019 I libPowerHal: [recordCPUFreqInfo] set cluster[0] min(binder:912_2): 2000000 max(binder:912_2): -1 cluster[1] min(binder:912_2): 2203000 max(binder:912_2): -1
06-01 12:43:56.088   937  1019 I libPowerHal: [perfLockAcq] Done for hdl : 276181
06-01 12:43:56.217  1842  2007 I mtkpower_client: [PowerHal_Wrap_notifyAppState] com.swiftcall.app/com.swiftcall.app.MainActivity pid=11898 activityId:225683152 state:0
06-01 12:43:56.217   893   893 I MTK_APPList: [notifyAPPstate] com.swiftcall.app/com.swiftcall.app.MainActivity, pid=11898, activityId=225683152, uid=10546, state:PAUSED, fps:-1, win:0
06-01 12:43:56.217   893   893 I MTK_APPList: [notifyAPPstate] multi_resumed_app_count: 0
06-01 12:43:56.217   893   893 I MTK_APPList: [getForegroundAPPCount] 1
06-01 12:43:56.217   893   893 I MTK_APPList: [notifyNetdUID] 10546
06-01 12:43:56.219   893   893 I MTK_APPList: [notifyPID] 11898
06-01 12:43:56.220   937  1019 I libPowerHal: [perfSetSysInfo] pid type:24, 11898
06-01 12:43:56.312   937   975 I mtkpower@impl: [setMode] type:6, enabled:0
06-01 12:43:56.312   937   975 E mtkpower@impl: [setMode] unknown type
06-01 12:43:56.342  1842  2766 I mtkpower_client: [PowerHal_Wrap_notifyAppState] com.swiftcall.app/com.swiftcall.app pid=11898 activityId:11898 state:3
06-01 12:43:56.342   893   893 I MTK_APPList: [notifyAPPstate] com.swiftcall.app/com.swiftcall.app, pid=11898, activityId=11898, uid=10546, state:DEAD, fps:-1, win:0
06-01 12:43:56.342   893   893 I MTK_APPList: [notifyAPPstate] multi_resumed_app_count: 0
06-01 12:43:56.342   893   893 I MTK_APPList: [getForegroundAPPCount] 1
06-01 12:43:56.342   893   893 I MTK_APPList: [notifyAPPstate] pack:com.swiftcall.app, pid:11898, STATE_DEAD
06-01 12:43:56.342   893   893 I MTK_APPList: [notifyNetdUID] 10546
06-01 12:43:56.343   893   893 I MTK_APPList: [notifyPID] 11898
06-01 12:43:56.344   937  1019 I libPowerHal: [perfSetSysInfo] pid type:24, 11898
06-01 12:43:56.366   912 18449 I mtkpower_client: perf_lock_acq, hdl:4098, dur:400, num:20, pid:912, tid:18449
06-01 12:43:56.366   912 18449 I mtkpower_client: ret_hdl:276182
06-01 12:43:56.366   912 18449 I mtkpower_client: perf_lock_acq, hdl:13350, dur:600, num:12, pid:912, tid:18449
06-01 12:43:56.367   937  1019 I libPowerHal: cmdSetting - unknown cmd:1c3c000, scmd:(null) ,param_1:1
06-01 12:43:56.367   937  1019 I libPowerHal: [perfLockAcq] idx:7 hdl:276182 hint:-1 pid:912 tid:18449 duration:400 lock_user:binder:912_2 => ret_hdl:276182
06-01 12:43:56.367   937  1019 I libPowerHal: [setGPUFreq] binder:912_2 user set gpu freq min:4, max:-1
06-01 12:43:56.367   937  1019 I libPowerHal: binder:912_2: set gpu opp level max: 0
06-01 12:43:56.367   937  1019 I libPowerHal: [setGPUFreq] Soft min/max = (4, 0); Hard min/max = (33, 0)
06-01 12:43:56.367   937  1019 I libPowerHal: [setGPUFreq] final min/max = (4, 0)
06-01 12:43:56.367   937  1019 I libPowerHal: binder:912_2: set gpu opp level: 4
06-01 12:43:56.367   937  1019 I libPowerHal: binder:912_2: set gpu opp level max: 0
06-01 12:43:56.368   937  1019 I libPowerHal: [perfLockAcq] Done for hdl : 276182
06-01 12:43:56.369   912 18449 I mtkpower_client: ret_hdl:276183
